name,smiles,toxic
Aspirin_0,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_1,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_2,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_3,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_4,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_5,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_6,CN(C)C(=N)N,0
Omeprazole_7,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_8,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_9,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_10,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_11,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_12,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_13,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_14,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_15,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_16,CN(C)C(=N)N,0
Omeprazole_17,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_18,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_19,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_20,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_21,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_22,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_23,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_24,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_25,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_26,CN(C)C(=N)N,0
Omeprazole_27,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_28,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_29,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_30,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_31,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_32,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_33,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_34,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_35,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_36,CN(C)C(=N)N,0
Omeprazole_37,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_38,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_39,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_40,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_41,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_42,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_43,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_44,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_45,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_46,CN(C)C(=N)N,0
Omeprazole_47,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_48,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_49,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_50,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_51,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_52,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_53,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_54,COC1=CC=C(C=C1)C(C)C(=O)O,0
Diclofenac_55,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,0
Metformin_56,CN(C)C(=N)N,0
Omeprazole_57,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0
Lisinopril_58,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,0
Amlodipine_59,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN,0
Aspirin_60,CC(=O)OC1=CC=CC=C1C(=O)O,0
Paracetamol_61,CC(=O)NC1=CC=C(O)C=C1,0
Ibuprofen_62,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0
Caffeine_63,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,0
Naproxen_64,COC1=CC=C(C=C1)C(C)C(=O)O,0
