name,smiles,status,toxic,reason,category,phase
Aspirin_1,CC(=O)OC1=CC=CC=C1C(=O)O,approved,0,,,
Paracetamol_2,CC(=O)NC1=CC=C(O)C=C1,approved,0,,,
Ibuprofen_3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Naproxen_4,COC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Diclofenac_5,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,approved,0,,,
Celecoxib_6,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,approved,0,,,
Penicillin G_7,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,approved,0,,,
Amoxicillin_8,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,approved,0,,,
Ciprofloxacin_9,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C)F)C(=O)O,approved,0,,,
Azithromycin_10,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2C(C(CC(O2)C)N(C)C)O)C)OC3C(C(CC(O3)C)N(C)C)O)C)C)C)O)O,approved,0,,,
Atorvastatin_11,CC(C)C1=C(C(=C(N1CC[C@@H](C[C@@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,approved,0,,,
Lisinopril_12,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,approved,0,,,
Metoprolol_13,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,approved,0,,,
Metformin_14,CN(C)C(=N)N,approved,0,,,
Glipizide_15,CC1=NC=C(N1C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3)C,approved,0,,,
Diazepam_16,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,approved,0,,,
Fluoxetine_17,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,approved,0,,,
Sertraline_18,CNC(CC1=CC=CC=C1)C2=CC=CC=C2Cl,approved,0,,,
Salbutamol_19,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,approved,0,,,
Montelukast_20,CC(C)(C)C1=CC=C(C=C1)CC(C2=CC=CC=C2)C3=CC=CC=C3,approved,0,,,
Aspirin_21,CC(=O)OC1=CC=CC=C1C(=O)O,approved,0,,,
Paracetamol_22,CC(=O)NC1=CC=C(O)C=C1,approved,0,,,
Ibuprofen_23,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Naproxen_24,COC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Diclofenac_25,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,approved,0,,,
Celecoxib_26,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,approved,0,,,
Penicillin G_27,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,approved,0,,,
Amoxicillin_28,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,approved,0,,,
Ciprofloxacin_29,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C)F)C(=O)O,approved,0,,,
Azithromycin_30,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2C(C(CC(O2)C)N(C)C)O)C)OC3C(C(CC(O3)C)N(C)C)O)C)C)C)O)O,approved,0,,,
Atorvastatin_31,CC(C)C1=C(C(=C(N1CC[C@@H](C[C@@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,approved,0,,,
Lisinopril_32,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,approved,0,,,
Metoprolol_33,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,approved,0,,,
Metformin_34,CN(C)C(=N)N,approved,0,,,
Glipizide_35,CC1=NC=C(N1C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3)C,approved,0,,,
Diazepam_36,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,approved,0,,,
Fluoxetine_37,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,approved,0,,,
Sertraline_38,CNC(CC1=CC=CC=C1)C2=CC=CC=C2Cl,approved,0,,,
Salbutamol_39,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,approved,0,,,
Montelukast_40,CC(C)(C)C1=CC=C(C=C1)CC(C2=CC=CC=C2)C3=CC=CC=C3,approved,0,,,
Aspirin_41,CC(=O)OC1=CC=CC=C1C(=O)O,approved,0,,,
Paracetamol_42,CC(=O)NC1=CC=C(O)C=C1,approved,0,,,
Ibuprofen_43,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Naproxen_44,COC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Diclofenac_45,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,approved,0,,,
Celecoxib_46,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,approved,0,,,
Penicillin G_47,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,approved,0,,,
Amoxicillin_48,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,approved,0,,,
Ciprofloxacin_49,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C)F)C(=O)O,approved,0,,,
Azithromycin_50,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2C(C(CC(O2)C)N(C)C)O)C)OC3C(C(CC(O3)C)N(C)C)O)C)C)C)O)O,approved,0,,,
Atorvastatin_51,CC(C)C1=C(C(=C(N1CC[C@@H](C[C@@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,approved,0,,,
Lisinopril_52,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,approved,0,,,
Metoprolol_53,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,approved,0,,,
Metformin_54,CN(C)C(=N)N,approved,0,,,
Glipizide_55,CC1=NC=C(N1C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3)C,approved,0,,,
Diazepam_56,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,approved,0,,,
Fluoxetine_57,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,approved,0,,,
Sertraline_58,CNC(CC1=CC=CC=C1)C2=CC=CC=C2Cl,approved,0,,,
Salbutamol_59,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,approved,0,,,
Montelukast_60,CC(C)(C)C1=CC=C(C=C1)CC(C2=CC=CC=C2)C3=CC=CC=C3,approved,0,,,
Aspirin_61,CC(=O)OC1=CC=CC=C1C(=O)O,approved,0,,,
Paracetamol_62,CC(=O)NC1=CC=C(O)C=C1,approved,0,,,
Ibuprofen_63,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Naproxen_64,COC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Diclofenac_65,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,approved,0,,,
Celecoxib_66,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,approved,0,,,
Penicillin G_67,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,approved,0,,,
Amoxicillin_68,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,approved,0,,,
Ciprofloxacin_69,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCN(CC4)C)F)C(=O)O,approved,0,,,
Azithromycin_70,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2C(C(CC(O2)C)N(C)C)O)C)OC3C(C(CC(O3)C)N(C)C)O)C)C)C)O)O,approved,0,,,
Atorvastatin_71,CC(C)C1=C(C(=C(N1CC[C@@H](C[C@@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,approved,0,,,
Lisinopril_72,C1CC(N(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)C(CC3=CC=CC=C3)N)C(=O)O,approved,0,,,
Metoprolol_73,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,approved,0,,,
Metformin_74,CN(C)C(=N)N,approved,0,,,
Glipizide_75,CC1=NC=C(N1C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3)C,approved,0,,,
Diazepam_76,CN1C(=O)CN=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,approved,0,,,
Fluoxetine_77,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,approved,0,,,
Sertraline_78,CNC(CC1=CC=CC=C1)C2=CC=CC=C2Cl,approved,0,,,
Salbutamol_79,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,approved,0,,,
Montelukast_80,CC(C)(C)C1=CC=C(C=C1)CC(C2=CC=CC=C2)C3=CC=CC=C3,approved,0,,,
Aspirin_81,CC(=O)OC1=CC=CC=C1C(=O)O,approved,0,,,
Paracetamol_82,CC(=O)NC1=CC=C(O)C=C1,approved,0,,,
Ibuprofen_83,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Naproxen_84,COC1=CC=C(C=C1)C(C)C(=O)O,approved,0,,,
Diclofenac_85,ClC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2Cl,approved,0,,,
Celecoxib_86,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,approved,0,,,
Penicillin G_87,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,approved,0,,,
